price,lotsize,age,landValue,livingArea,bedrooms,fireplaces,bathrooms,rooms,heating,fuel,sewer,waterfront,newConstruction,centralAir
77000,2104,75,3900,85,2,0,1,4,hot air,gas,septic,No,No,No
452000,3319,12,3700,227,3,0,2.5,6,hot air,gas,septic,No,No,No
159000,1174,83,3900,84,4,0,1,7,hot air,gas,public/commercial,No,No,No
287000,2104,0,4400,195,3,0,2,7,hot air,gas,septic,No,Yes,Yes
318000,2590,9,3000,197,4,1,2.5,7,hot water/steam,gas,septic,No,No,No
272000,2104,12,4500,125,2,1,2,7,hot air,gas,septic,No,No,No
291000,4047,3,5200,103,3,0,1,8,hot air,gas,septic,No,No,No
251000,2792,33,6500,134,3,2,2,6,hot water/steam,gas,septic,No,No,No
150000,526,0,15000,78,2,0,1,3,hot air,gas,public/commercial,No,Yes,No
182000,890,10,7300,109,2,0,1,6,hot air,gas,public/commercial,No,No,No
320000,1862,15,23400,155,4,0,1,5,hot air,oil,septic,No,No,No
138000,4047,153,27300,281,4,0,1,12,hot air,oil,septic,No,No,No
431000,4047,0,15900,242,4,1,2.5,9,hot air,gas,none,No,No,No
166000,526,0,15000,78,2,0,1.5,7,hot air,gas,public/commercial,No,Yes,No
215000,4168,63,41500,158,5,0,1,10,hot water/steam,oil,septic,No,No,No
265000,4735,33,41800,135,3,1,1.5,6,hot air,oil,septic,No,No,No
225000,1376,44,19000,114,3,0,1,4,hot air,oil,septic,No,No,No
244000,1538,48,21300,131,3,1,1,5,hot air,gas,septic,No,No,No
287000,7932,29,39700,150,3,1,1.5,5,hot air,oil,septic,No,No,No
244000,12141,178,44500,281,4,0,2.5,12,hot water/steam,oil,septic,No,No,No
259000,1336,32,22500,177,3,1,1.5,7,hot water/steam,gas,public/commercial,No,No,No
485000,1862,1,36600,237,4,1,2.5,9,hot air,gas,public/commercial,No,Yes,Yes
150000,1174,16,22100,97,2,0,1,7,electric,electric,public/commercial,No,No,No
330000,1416,1,37000,169,3,1,2.5,6,hot air,gas,public/commercial,No,Yes,No
298000,1133,21,28400,205,3,1,2,10,electric,electric,public/commercial,No,No,Yes
190000,2104,53,20300,222,3,0,1,6,hot air,oil,septic,No,No,No
206000,445,16,20700,127,2,1,1.5,3,electric,electric,public/commercial,No,No,Yes
206000,567,16,21000,138,2,1,2,5,electric,electric,public/commercial,No,No,Yes
244000,567,15,19600,125,2,1,1.5,5,electric,electric,public/commercial,No,No,Yes
366000,1902,7,25500,176,4,1,2.5,8,hot air,gas,public/commercial,No,No,Yes
251000,567,16,19600,125,2,1,1.5,6,electric,electric,public/commercial,No,No,Yes
380000,2064,15,39600,187,3,1,2.5,7,hot air,gas,public/commercial,No,No,Yes
215000,850,15,28800,110,2,1,1.5,3,hot air,gas,public/commercial,No,No,Yes
380000,567,1,45200,184,3,1,2.5,5,hot air,gas,public/commercial,No,Yes,Yes
514000,2226,14,72000,210,3,1,2.5,7,hot air,gas,public/commercial,No,No,Yes
251000,283,12,24500,149,2,0,1.5,4,hot air,gas,public/commercial,No,No,Yes
159000,1983,83,11900,111,3,0,1,6,hot air,gas,septic,No,No,No
253000,283,13,24500,149,2,0,2.5,7,hot air,gas,public/commercial,No,No,Yes
316000,1457,1,37100,162,3,0,2.5,5,hot air,gas,public/commercial,No,Yes,No
246000,2024,37,19800,102,3,0,1,5,hot water/steam,oil,septic,No,No,No
505000,1943,10,37800,224,4,1,2.5,11,hot air,gas,public/commercial,No,No,Yes
318000,1174,14,31100,180,3,1,2.5,6,hot air,gas,public/commercial,No,No,Yes
720000,2752,9,57200,286,4,1,2.5,12,hot air,gas,public/commercial,No,No,Yes
727000,16512,13,75500,422,6,2,2.5,12,hot air,oil,septic,No,No,Yes
262000,405,14,26000,156,3,1,2.5,5,hot air,gas,public/commercial,No,No,Yes
662000,2509,7,57800,270,4,1,2.5,11,hot air,gas,public/commercial,No,No,Yes
240000,283,16,20300,129,2,1,1.5,5,electric,electric,public/commercial,No,No,Yes
206000,648,15,22400,98,2,1,1.5,7,hot air,gas,public/commercial,No,No,No
391000,1457,1,29200,218,4,1,2.5,8,hot air,gas,public/commercial,No,Yes,Yes
422000,40,0,37200,205,4,1,2.5,10,hot air,gas,public/commercial,No,Yes,Yes
300000,1376,1,36200,141,3,1,2,5,hot air,gas,public/commercial,No,Yes,Yes
643000,3035,12,82500,264,4,1,2.5,10,hot air,gas,public/commercial,No,No,Yes
253000,1174,15,35200,117,2,0,1.5,7,hot air,gas,public/commercial,No,No,Yes
524000,1902,6,20000,218,4,1,3.5,10,hot air,gas,public/commercial,No,No,Yes
417000,1295,0,53900,198,4,1,2.5,9,hot air,gas,public/commercial,No,Yes,Yes
262000,486,15,16800,125,2,1,2.5,4,hot air,gas,public/commercial,No,No,Yes
688000,4047,0,24300,276,4,1,2.5,10,hot air,gas,septic,No,Yes,Yes
460000,1862,13,36600,197,4,1,3.5,8,hot air,gas,public/commercial,No,No,Yes
215000,728,16,21400,106,2,1,1,7,electric,electric,public/commercial,No,No,Yes
246000,2226,33,14900,92,3,1,1,7,hot air,oil,septic,No,No,No
423000,1862,9,45800,137,3,0,2,4,hot air,gas,public/commercial,No,No,No
297000,607,10,28500,116,3,0,1.5,7,hot air,gas,public/commercial,No,No,No
426000,3764,48,23500,178,5,1,2,10,hot water/steam,gas,septic,No,No,No
207000,1862,23,19700,134,3,0,1.5,5,hot air,oil,septic,No,No,No
320000,1052,16,30100,148,3,1,2,6,hot air,gas,public/commercial,No,No,Yes
491000,2550,0,24400,248,4,1,2.5,11,hot air,gas,public/commercial,No,Yes,Yes
265000,2024,35,28000,185,3,0,1.5,8,hot water/steam,gas,septic,No,No,No
378000,121,10,35800,150,3,0,2,6,hot air,gas,public/commercial,No,No,Yes
495000,688,9,40500,178,3,1,2.5,5,hot air,gas,public/commercial,No,No,No
306000,2590,37,16400,241,3,1,1.5,9,hot water/steam,oil,septic,No,No,No
378000,1902,6,25500,172,3,1,2.5,9,hot air,gas,public/commercial,No,No,No
310000,3723,53,29000,126,4,0,1,9,hot air,oil,septic,No,No,Yes
322000,1659,35,26200,155,3,1,1.5,6,hot air,gas,public/commercial,No,No,Yes
238000,648,15,22400,102,2,1,1.5,3,hot air,gas,public/commercial,No,No,Yes
207000,40,17,9900,113,2,0,1.5,4,electric,electric,public/commercial,No,No,No
272000,1174,93,9200,97,3,0,1,6,electric,electric,septic,No,No,No
215000,1457,103,32200,106,3,0,1,8,hot air,oil,septic,No,No,No
225000,1133,16,22000,106,2,1,2,6,hot air,gas,public/commercial,No,No,Yes
272000,607,14,21000,115,2,1,1.5,5,hot air,gas,public/commercial,No,No,No
687000,2388,0,153800,281,4,1,2.5,9,hot air,gas,public/commercial,No,Yes,Yes
241000,1457,19,27000,140,3,1,2,6,hot air,gas,public/commercial,No,No,No
161000,648,19,15700,85,2,1,1.5,5,electric,electric,public/commercial,No,No,No
185000,1376,18,27000,140,3,0,1.5,4,electric,electric,public/commercial,No,No,No
268000,1336,17,27000,145,3,1,1.5,6,hot air,gas,public/commercial,No,No,No
333000,2266,30,26400,244,4,1,2.5,8,hot water/steam,gas,public/commercial,No,No,No
277000,1943,30,19600,87,3,1,1,7,hot water/steam,gas,public/commercial,No,No,No
172000,648,19,15700,85,2,0,1.5,3,electric,electric,public/commercial,No,No,No
202000,688,16,15100,139,3,0,2.5,8,electric,electric,public/commercial,No,No,No
314000,1862,30,26300,149,4,1,2.5,5,hot water/steam,gas,public/commercial,No,No,No
329000,3278,25,25000,214,5,1,2.5,9,electric,electric,septic,No,No,No
148000,607,19,15700,85,2,0,1.5,7,electric,electric,public/commercial,No,No,No
211000,607,17,15100,129,2,1,1.5,7,hot air,gas,public/commercial,No,No,Yes
324000,1295,17,27000,145,4,0,1.5,8,electric,electric,public/commercial,No,No,No
192000,648,20,15700,82,2,0,2,3,hot water/steam,gas,public/commercial,No,No,No
164000,607,18,15700,85,2,0,2,4,electric,electric,public/commercial,No,No,No
183000,607,17,15700,85,2,0,1.5,3,electric,gas,public/commercial,No,No,No
243000,1943,73,20500,129,3,0,2,5,hot air,oil,septic,No,No,No
272000,3116,7,30000,124,3,0,1.5,4,hot air,gas,public/commercial,No,No,No
301000,1700,10,26200,133,3,1,2,5,hot air,gas,septic,No,No,Yes
215000,688,16,15100,139,3,1,2.5,6,electric,electric,public/commercial,No,No,No
325000,1295,16,27000,145,4,1,1.5,9,hot air,gas,public/commercial,No,No,Yes
564000,364,11,32000,87,1,0,1,3,electric,electric,public/commercial,Yes,No,No
222000,648,16,15100,139,3,1,2.5,8,electric,electric,public/commercial,No,No,No
255000,648,18,15100,172,3,0,2.5,7,electric,electric,public/commercial,No,No,No
188000,607,15,15100,115,2,0,1.5,7,electric,electric,public/commercial,No,No,No
179000,688,19,15800,85,2,0,1.5,6,electric,electric,public/commercial,No,No,No
194000,688,19,15800,85,2,0,1.5,3,hot air,gas,public/commercial,No,No,No
188000,648,19,15700,85,2,0,1.5,6,hot water/steam,gas,public/commercial,No,No,No
196000,648,19,15100,110,3,0,1.5,8,hot water/steam,gas,public/commercial,No,No,No
316000,1376,18,27000,152,3,1,2,6,electric,electric,public/commercial,No,No,No
304000,1255,16,27000,140,3,1,2,6,electric,electric,public/commercial,No,No,No
187000,1619,50,18000,62,2,0,1,5,electric,electric,public/commercial,No,No,No
943000,1376,18,79700,125,3,1,2,6,hot air,oil,public/commercial,Yes,No,No
215000,648,18,15100,110,3,0,2,5,electric,electric,public/commercial,No,No,No
192000,607,16,15700,85,2,0,1.5,4,hot air,gas,public/commercial,No,No,No
209000,607,18,15700,85,2,1,1.5,5,electric,electric,public/commercial,No,No,No
113000,648,19,15700,92,2,0,2,4,hot air,gas,public/commercial,No,No,No
212000,648,19,15100,110,3,0,2,6,hot air,gas,public/commercial,No,No,No
208000,607,16,15100,129,2,0,1.5,4,electric,electric,public/commercial,No,No,No
178000,607,18,15700,85,2,0,1.5,3,hot water/steam,gas,public/commercial,No,No,No
312000,1497,18,27000,144,3,1,2,5,hot air,gas,public/commercial,No,No,Yes
345000,1255,17,27000,145,4,0,1.5,9,electric,electric,public/commercial,No,No,No
253000,4047,24,21000,94,2,0,1,3,hot air,gas,septic,No,No,Yes
224000,607,17,15200,129,2,0,1.5,4,electric,electric,public/commercial,No,No,No
191000,648,19,15700,84,2,0,1,6,hot air,gas,public/commercial,No,No,No
192000,971,138,1400,209,4,0,1.5,9,hot water/steam,oil,public/commercial,No,No,No
330000,8337,16,5900,169,3,1,2.5,5,hot air,gas,septic,No,No,No
396000,1700,0,13000,238,4,1,2.5,9,hot air,gas,public/commercial,No,Yes,Yes
232000,3723,16,5500,77,3,0,1.5,5,electric,electric,septic,No,No,No
385000,1619,0,15000,229,4,1,2.5,9,hot air,gas,public/commercial,No,No,No
253000,1457,22,10500,123,3,0,1,4,electric,electric,public/commercial,No,No,No
663000,23634,12,20000,271,3,1,2.5,9,hot air,gas,public/commercial,No,No,Yes
193000,648,19,15100,96,2,0,1.5,4,electric,electric,public/commercial,No,No,No
207000,607,16,15700,85,2,1,1.5,4,electric,electric,public/commercial,No,No,No
244000,3966,35,19600,123,2,0,1,3,electric,electric,septic,No,No,No
244000,1336,17,27000,140,3,1,1.5,8,hot air,gas,public/commercial,No,No,No
192000,648,16,15700,85,2,1,1.5,7,electric,electric,public/commercial,No,No,No
432000,364,12,31200,190,4,1,2.5,7,hot air,gas,septic,No,No,Yes
187000,648,17,15700,85,2,1,1.5,5,electric,electric,public/commercial,No,No,No
633000,12141,10,53600,165,2,0,2,6,hot air,oil,public/commercial,No,No,Yes
251000,2347,25,25000,121,3,0,2,8,electric,electric,public/commercial,No,No,No
387000,1700,10,26200,171,4,1,2.5,8,hot air,gas,septic,No,No,Yes
180000,688,18,15800,85,2,0,2,3,electric,electric,public/commercial,No,No,No
136000,648,19,15700,85,2,0,1.5,6,electric,electric,public/commercial,No,No,No
273000,1255,16,27000,142,2,1,2,7,electric,electric,public/commercial,No,No,No
305000,4007,17,5700,135,3,0,1.5,7,electric,electric,septic,No,No,No
204000,1052,26,4600,158,3,1,1.5,4,hot water/steam,oil,public/commercial,No,No,No
291000,1821,27,7000,156,4,0,1,9,electric,electric,public/commercial,No,No,No
150000,1983,0,13000,223,4,1,2.5,10,hot air,gas,public/commercial,No,No,Yes
259000,1416,21,11000,109,3,0,1,7,electric,electric,public/commercial,No,No,No
227000,1619,24,9800,125,3,1,1.5,7,electric,electric,public/commercial,No,No,No
253000,1943,23,10400,125,3,0,1.5,8,electric,electric,public/commercial,No,No,No
253000,1416,9,13000,159,3,0,2.5,8,hot water/steam,gas,septic,No,No,No
378000,1012,20,29000,185,4,1,3,9,hot air,gas,public/commercial,No,No,No
140000,486,19,18200,86,2,0,1,7,hot air,gas,public/commercial,No,No,Yes
251000,364,24,17600,120,2,1,1.5,3,hot air,gas,public/commercial,No,No,Yes
349000,1862,36,27400,234,4,1,2.5,10,hot water/steam,gas,public/commercial,No,No,No
275000,2873,58,22700,128,3,1,1.5,7,hot water/steam,oil,public/commercial,No,No,No
173000,243,19,16400,115,2,1,1.5,6,hot air,gas,public/commercial,No,No,Yes
358000,2469,41,32300,215,4,1,2.5,7,hot water/steam,gas,public/commercial,No,No,Yes
359000,1295,0,35000,173,3,1,2.5,9,hot air,gas,public/commercial,No,No,No
277000,1497,26,37500,157,3,1,1.5,8,hot air,gas,public/commercial,No,No,Yes
290000,1174,26,31400,157,3,1,2.5,4,hot air,gas,public/commercial,No,No,Yes
339000,3845,16,40900,147,3,1,1.5,4,electric,electric,public/commercial,No,No,Yes
446000,2711,8,72400,213,4,1,3,9,hot air,gas,public/commercial,No,No,Yes
345000,1619,32,30000,229,5,1,2.5,9,hot air,gas,public/commercial,No,No,Yes
489000,1174,5,29000,237,4,1,2.5,12,hot air,gas,public/commercial,No,No,Yes
392000,1416,6,36500,215,4,1,2.5,7,hot air,gas,public/commercial,No,No,Yes
407000,1497,18,43000,242,4,1,2.5,8,hot air,gas,septic,No,No,Yes
456000,2145,15,65800,249,4,1,2.5,10,hot air,gas,public/commercial,No,No,Yes
215000,243,19,16400,138,3,0,1.5,4,electric,electric,public/commercial,No,No,Yes
182000,607,16,18500,106,2,0,1,7,electric,electric,public/commercial,No,No,Yes
246000,1093,24,18900,147,3,0,2.5,4,hot water/steam,gas,public/commercial,No,No,No
392000,1740,10,52200,194,4,1,2.5,9,hot air,gas,public/commercial,No,No,Yes
380000,243,26,35900,161,3,1,2,8,hot air,gas,public/commercial,No,No,Yes
485000,4047,2,49900,172,2,2,2,4,hot air,gas,septic,No,No,Yes
352000,1862,30,27400,215,5,1,2.5,12,hot air,gas,public/commercial,No,No,No
509000,121,0,56800,272,4,1,2.5,12,hot air,gas,public/commercial,No,No,No
352000,3561,33,35900,240,4,1,2.5,10,hot water/steam,gas,public/commercial,No,No,No
287000,2226,36,30500,155,3,1,2,8,hot water/steam,gas,public/commercial,No,No,No
359000,4047,24,46000,115,2,0,1.5,3,electric,electric,septic,No,No,No
344000,1740,29,31400,248,5,1,2.5,9,hot air,gas,public/commercial,No,No,Yes
291000,1821,35,32300,146,3,1,1.5,7,hot air,gas,public/commercial,No,No,No
248000,405,12,18000,146,2,0,1.5,7,hot air,gas,public/commercial,No,No,Yes
196000,364,16,17600,123,2,1,1.5,4,hot air,gas,public/commercial,No,No,Yes
150000,364,18,17600,138,3,0,1.5,8,hot water/steam,gas,public/commercial,No,No,No
338000,2388,0,38400,201,4,1,2.5,11,hot air,gas,public/commercial,No,No,No
243000,648,10,18600,126,2,1,1.5,3,hot air,gas,public/commercial,No,No,Yes
282000,2064,33,34600,153,3,0,1.5,8,hot air,gas,public/commercial,No,No,Yes
475000,1862,25,60500,273,3,1,3.5,12,hot air,gas,public/commercial,No,No,Yes
443000,1862,1,36400,224,4,1,2.5,10,hot air,gas,public/commercial,No,No,No
189000,1700,36,30900,162,3,0,1.5,9,hot air,gas,public/commercial,No,No,No
1218000,1821,14,119500,486,4,4,4,12,hot air,gas,public/commercial,No,No,Yes
359000,2226,34,30500,240,4,1,2.5,12,hot water/steam,gas,public/commercial,No,No,No
308000,1781,34,31800,147,3,1,1.5,7,hot air,gas,public/commercial,No,No,No
154000,243,19,16400,138,3,0,1.5,5,electric,electric,public/commercial,No,No,No
397000,2024,15,37000,178,4,1,2.5,7,hot air,gas,public/commercial,No,No,No
363000,1214,30,24500,180,3,1,1.5,9,hot air,gas,public/commercial,No,No,Yes
397000,1336,3,11600,196,4,1,2.5,8,hot air,gas,public/commercial,No,No,Yes
212000,567,19,18400,138,3,0,1.5,5,hot air,gas,public/commercial,No,No,No
345000,2792,34,34700,240,5,1,2.5,9,hot water/steam,gas,public/commercial,No,No,No
514000,1538,18,60800,227,4,2,2.5,9,hot air,gas,public/commercial,No,No,Yes
465000,2995,14,73800,203,3,1,2.5,7,hot air,gas,public/commercial,No,No,Yes
505000,1538,18,82800,193,4,1,2.5,8,hot air,electric,septic,No,No,Yes
287000,1538,37,29100,156,3,1,1.5,5,hot air,gas,public/commercial,No,No,No
215000,1174,19,20300,114,4,0,1.5,9,electric,electric,public/commercial,No,No,No
227000,1133,22,19500,128,2,1,1.5,7,electric,electric,public/commercial,No,No,Yes
407000,2185,16,30200,153,3,1,2,5,hot air,gas,public/commercial,No,No,Yes
330000,1052,31,21900,160,3,1,1.5,9,hot air,gas,public/commercial,No,No,Yes
375000,2388,33,31700,240,4,1,2.5,9,hot water/steam,gas,public/commercial,No,No,No
465000,1497,4,37500,212,4,1,2.5,7,hot air,gas,public/commercial,No,No,No
355000,1619,18,25000,194,4,1,2.5,10,hot water/steam,gas,public/commercial,No,No,No
397000,2024,15,37000,178,4,1,2.5,9,hot air,gas,public/commercial,No,No,No
370000,2185,29,30200,292,5,1,3.5,10,hot water/steam,gas,public/commercial,No,No,No
113000,890,73,6900,96,3,0,1,4,hot air,gas,septic,No,No,No
359000,1416,36,39800,176,4,1,2.5,7,hot air,gas,public/commercial,No,No,Yes
399000,2104,38,29600,215,5,1,2.5,9,hot water/steam,gas,public/commercial,No,No,No
163000,1255,17,19600,86,2,1,1,6,electric,electric,public/commercial,No,No,No
